! Corey Correlations with the following parameters:
! NG  = 2.000000000000000, gas   rel perm exponent
! NW  = 5.000000000000000, water rel perm exponent
! SGC = 0.100000000000000, critical gas saturation
! SWC = 0.2, connate/irreducible water saturation
! KRG_SWC = 1.0, gas   rel perm endpoint
! KRW_SGC = 0.200000000000000, water rel perm endpoint
! 	Gas-water table
GWTABLE
SG	KRG	KRWG	PCGW
0.000	0.00000	1.00000	0.00000
0.100	0.00000	0.20000	0.00000
0.255	0.04903	0.05722	0.00000
0.410	0.19612	0.01074	0.00000
0.440	0.23592	0.00720	0.00000
0.480	0.29469	0.00399	0.00000
0.520	0.36000	0.00205	0.00000
0.560	0.43184	0.00095	0.00000
0.590	0.49000	0.00049	0.00000
0.630	0.57327	0.00017	0.00000
0.670	0.66306	0.00004	0.00000
0.700	0.73469	0.00001	0.00000
0.740	0.83592	0.00000	0.00000
0.780	0.94367	0.00000	0.00000
0.800	1.00000	0.00000	0.00000

! Endpoint scaling method
SCALING THREEPOINT
